NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      50C0345,,Shafter,Kern,'BNSF RY  SANTA FE WAY,'7TH STANDARD ROAD,'6 MI WEST OF SR99,2010,,125,,Prestressed concrete continuous *,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",625400
        1CA2002,,Lemoore Naval Air Station,Fresno,'Morrison Creek,'Entrance Road,'Navy Research Center,1965,0,25,97,Concrete continuous,Slab,,"Local, Rural",38704
        1CA2002,,Lemoore Naval Air Station,Kings,'Morrison Creek,'Entrance Road,'Navy Research Center,1965,0,25,97,Concrete continuous,Slab,,"Local, Rural",38704
      45 0013,198,Hanford,Kings,'BNSF RY & AMTRAK,'SR 198,'06-KIN-198-R18.13-HAN,1967,0,48,75.8,Concrete continuous,Tee Beam,,"Principal Arterial - Other Freeways, Urban",51645
      45 0015,198,Hanford,Kings,'PHILLIPS STREET,'STATE ROUTE 198,'06-KIN-198-R18.23-HAN,1967,0,33,78.1,Concrete continuous,Tee Beam,,"Principal Arterial - Other Freeways, Urban",51647
      45 0037,Z423,Hanford,Kings,'STATE ROUTE 198,'DOUTY ST,'06-KIN-198-R18.51-HAN,1967,0,50,89.6,Concrete continuous,Tee Beam,Functionally Obsolete,"Minor Arterial, Urban",51655
      45 0038,198,Hanford,Kings,'11TH AVENUE,'SR 198,'06-KIN-198-R17.91-HAN,1967,0,50,79.1,Concrete continuous,Tee Beam,,"Principal Arterial - Other Freeways, Urban",51656
      45 0039,Z424,Hanford,Kings,'STATE ROUTE 198,'10TH AVENUE,'06-KIN-198-R18.96-HAN,1967,0,53,78.7,Concrete continuous,Tee Beam,,"Minor Arterial, Urban",51657
      45 0037,198,Hanford,Kings,'STATE ROUTE 198,'DOUTY ST,'06-KIN-198-R18.51-HAN,1967,,50,,Concrete continuous,Tee Beam,,"Principal Arterial - Other Freeways, Urban",625050
      45 0038,Z419,Hanford,Kings,'11TH AVENUE,'SR 198,'06-KIN-198-R17.91-HAN,1967,,50,,Concrete continuous,Tee Beam,,"Minor Arterial, Urban",625051
      45 0039,198,Hanford,Kings,'STATE ROUTE 198,'10TH AVENUE,'06-KIN-198-R18.96-HAN,1967,,53,,Concrete continuous,Tee Beam,,"Principal Arterial - Other Freeways, Urban",625052
      14C0029,,Clearlake,Lake,'BURNS VALLEY CREEK,'OLD STATE HIGHWAY,'1.5 Mi NW SR 53 & OLYMP,1999,0,7,98.9,Concrete continuous,Culvert (includes frame culverts),,"Collector, Urban",41970
      14C0066,,Lakeport,Lake,'FORBES CREEK,'MARTIN ST,'0.6 MI EAST OF SR 29,1970,0,8,89.3,Concrete continuous,Culvert (includes frame culverts),,"Collector, Urban",41994
      14C0067,,Clearlake,Lake,'BURNS VALLEY CREEK,'BURNS VALLEY RD,'NEAR CLEARLAKE HIGHLANDS,1990,0,10,97.7,Concrete,Slab,,"Collector, Urban",41995
      07C0016,,Susanville,Lassen,'SUSAN RIVER,'LASSEN ST,'0.3 MI S OF S.H. 36,1965,0,24,91.5,Concrete,Box Beam or Girders - Multiple,,"Collector, Urban",40255
      07C0017,,Susanville,Lassen,'SUSAN RIVER,'RICHMOND ROAD,'Just N. of Riverside Dr.,1995,0,38,94.7,Prestressed concrete *,Box Beam or Girders - Multiple,Structurally Deficient,"Major Collector, Rural",40256
      07C0018,,Susanville,Lassen,'SUSAN RIVER,'ALEXANDER AVE,'0.22 MI S OF S.H. 36,1986,0,24,97.3,Concrete,Box Beam or Girders - Multiple,,"Collector, Urban",40257
      07C0032,,Susanville,Lassen,'SUSAN RIVER,'PARK RIVERSIDE DR,'0.6 MI E ALEXANDER DR,1973,0,25,53.6,Prestressed concrete *,Stringer/Multi-beam or Girder,Functionally Obsolete,"Collector, Urban",40268
      53 0010K,10,Rosemead,Los Angeles,'SR 164 (ROSEMEAD BL),'W10-S164&N164-W10,'07-LA-010-26.84-RSMD,1951,0,53,94.7,Concrete continuous,Slab,,"Principal Arterial - Interstate, Urban",54410
